text,keyword
Does a *Dog* have ears?,animal dog
"He held out his hand for the *Dog* to sniff, but Nikolai nuzzled his nose into it instead.",animal dog
"There were small white houses here, one with a *Dog* that barked as she passed.",animal dog
"Jackson scratched his ear and the *Dog* sat, enjoying the attention.",animal dog
She was as nervous as a cat in a *Dog* pound.,animal dog
I was pleased with anything that made a noise and liked to feel the cat purr and the *Dog* bark.,animal dog
I wonder if that nasty *Dog* is in need of a walk.,animal dog
Why are you mopping around like your *Dog* didn't make it across the Interstate?,animal dog
"Then he added, You should be pleased, not looking like your *Dog* just died.",animal dog
Some hunter's *Dog* had probably dug it out.,animal dog
He was headed for the *Dog* food factory.,animal dog
"This little *Dog* lived in their shed, sleeping beside Karataev at night; it sometimes made excursions into the town but always returned again.",animal dog
"I have heard of a *Dog* that barked at every stranger who approached his master's premises with clothes on, but was easily quieted by a naked thief.",animal dog
"As he finished the conversation, Donald Ryland emerged from his room, looking as if his *Dog* had died.",animal dog
"At length, in the war of 1812, her dwelling was set on fire by English soldiers, prisoners on parole, when she was away, and her cat and *Dog* and hens were all burned up together.",animal dog
"She smirked, ""I think you need to get a *Dog*.""",animal dog
"Surely if they had a wild *Dog* problem again, they would have seen or heard them by now.",animal dog
You put my cousin in a room with a rabid *Dog* to coerce me to … do something? she managed.,animal dog
Coins of Ceos exhibit the head of Aristaeus and Sirius in the form of a *Dog* crowned with rays.,animal dog
"According to others, Pandareus stole a golden *Dog* which guarded the temple of Zeus in Crete, and gave it to Tantalus to take care of.",animal dog
"In the early periods of the history of other countries this seems to have been the case even where the *Dog* was esteemed and valued, and had become the companion, the friend and the defender of man and his home; and in the and century of the Christian era Arrian wrote that ""there is as much difference between a fair trial of speed in a good run, and ensnaring a poor animal without an effort, as between the secret piratical assaults of robbers at sea and the victorious naval engagements of the Athenians at Artemisium and at Salamis.""",animal dog
"There is, of course, no sewerage system, the surfaces of the streets serving that purpose, and what garbage and refuse is not consumed by the *Dog* scavengers washes down into the Tigris at the same place from which the water for drinking is drawn.",animal dog
"The scorpion, attacking the genitals of the bull, is sent by Ahriman from the lower world to defeat the purpose of the sacrifice; the *Dog*, springing towards the wound in the bull's side, was venerated by the Persians as the companion of Mithras; the serpent is the symbol of the earth being made fertile by drinking the blood of the sacrificial bull; the raven, towards which Mithras turns his face as if for direction, is the herald of the Sun-god, whose bust is near by, and who has ordered the sacrifice; various plants near the bull, and heads of wheat springing from his tail, symbolize the result of the sacrifice; the cypress is perhaps the tree of immortality.",animal dog
"These observations have been verified in the rabbit, mouse, fowl, guinea-pig and cat by Davidsohn, occasionally in the *Dog* by Lubarsch; and confirmatory observations have also been made by Czerny and Maximoff.",animal dog
"In common parlance, it may be described as a species of wild *Dog* with close affinity to the bear.",animal dog
"The *Dog* was of many varieties as early as the XIIth Dynasty, when the greyhound and turnspit and other well-marked forms are seen.",animal dog
"In the *Dog* it has been proved that after removal from the animal of every vestige of its cortex cerebri, it still executes habitual acts of great motor complexity requiring extraordinarily delicate adjustment of muscular contraction.",animal dog
"Along with the calcined human bones were bones of animals, among which those of the horse and the *Dog* were distinguished.",animal dog
The lion was occasionally trained as a hunting animal instead of the *Dog*.,animal dog
"The *Dog*, swine, goat and sheep were alone found upon the island by the Spanish conquerors.",animal dog
The appearance of the Asiatic *Elephant* is familiar to all.,animal elephant
"South of the Thames the thoroughfares crossing the river between Lambeth and Bermondsey converge upon two circuses, St George's and the *Elephant* and Castle.",animal elephant
"Among the external characters by which the mammoth was distinguished from either of the existing species of *Elephant* was the dense clothing, not only of long, coarse outer hair, but also of close under woolly hair of a reddish-brown colour, evidently in adaptation to the cold climate it inhabited.",animal elephant
Of the domesticated animals of Asia may first be mentioned the *Elephant*.,animal elephant
"Among the more remarkable forms are a species of hippopotamus, the *Elephant* (including a pigmy variety), and a gigantic dormouse.",animal elephant
"Dicuil's knowledge of the islands north and west of Britain is evidently intimate; his references to Irish exploration and colonization, and to (more recent) Scandinavian devastation of the same, as far as the Faeroes, are noteworthy, like his notice of the *Elephant* sent by Harun al-Rashid (in 801) to Charles the Great, the most curious item in a political and diplomatic intercourse of high importance.",animal elephant
"He had transferred his flag from his own ship the ""St George"" (98) to the ""*Elephant*"" (74), commanded by Captain Foley, because the water was too shallow for a threedecker.",animal elephant
"The fauna includes the *Elephant*, rhinoceros, buffalo, giraffe, lion, leopard, cheetah, roan-antelope, hartebeeste, kudu and many other kinds of antelope, wart-hog, hares, quail, partridge, jungle-fowl, bustard and guinea-fowl.",animal elephant
"The fauna includes the *Elephant*, hippopotamus, lion and several species of antelope.",animal elephant
"The rhinoceros and the *Elephant* both occur in the northern part of the island, though both are somewhat rare, and in this connexion it should be noted that the distribution of quadrupeds as between Borneo, Sumatra and the Malayan Peninsula is somewhat peculiar and seemingly somewhat capricious.",animal elephant
"The wild animals include the *Elephant*, still found in large numbers, the leopard, panther, chimpanzee, grey monkeys, antelope of various kinds, the buffalo, wild hog, bush goat, bush pig, sloth, civet and squirrel.",animal elephant
"The forests are the home of several kinds of monkeys, including the chimpanzee in the Aruwimi region; the lion, leopard, wild hog, wolf, hyena, jackal, the python and other snakes, and particularly of the *Elephant*.",animal elephant
"Human bones and objects of human manufacture have been found in such geological relation to the remains of fossil species of *Elephant*, rhinoceros, hyena, bear, &c., as to lead to the distinct inference that man already existed at a remote period in localities where these mammalia are now and have long been extinct.",animal elephant
"Among plants remarkable in their appearance and structure may be noted the cactus-like Euphorbiae or spurge plants, the Stapelia or carrion flower, and the *Elephant*'s foot or Hottentots' bread, a plant of the same order as the yam.",animal elephant
"Accordingly, it was at this epoch that the small ancestral insectivorous mammals first forsook their arboreal habitat to try a life on the open plains, where their descendants developed on the one hand into the carnivorous and other groups, in which the toes are armed with nails or claws, and on the other into the hoofed group, inclusive of such monsters as the *Elephant* and the giraffe.",animal elephant
"Like Heracles when he leaped into the belly of the monster which was about to swallow Hesione, the Mantis once jumped down the throat of a hostile *Elephant*, and so destroyed him.",animal elephant
"There are no large beasts of prey, and neither the *Elephant*, the rhinoceros nor the tapir is represented.",animal elephant
Several seemed quite anxious at having just been redirected away from where the *Elephant* had been cordoned off.,animal elephant
"The railroad will no longer go through the Maputo *Elephant* reserve, but around it, in an area that is already deforested.",animal elephant
"This was in response to the untimely death of Pole Pole, a young captive *Elephant*.",animal elephant
He stepped onto the stage and light a joint which would have wasted a bull *Elephant*.,animal elephant
The *Elephant* & Castle is best known for its pink concrete eyesore.,animal elephant
"Animals include giant panda, *Elephant*, lion, horse, cow, lamb, pig, monkey and teddy bears.",animal elephant
"He considers pictographic languages ranging from the natural Mayan hieroglyphics and Sumerian cuneiform, to recent experiments such as *Elephant*'s Memory.",animal elephant
Let's untie that knot in the *Elephant*'s trunk together!,animal elephant
"Indian nightjar Several of these small, delicate nightjars seen pre-dawn at Bundala together with one spotlighted *Elephant* which gave us rather a start.",animal elephant
We saw *Elephant* seals and chinstrap penguins that were totally unfazed by our presence.,animal elephant
"Animals present included red deer, roe deer, horse, boar, bear, wolf, *Elephant*, rhinoceros, lion and hyena!",animal elephant
"Now, like the rest of the facility, the *Elephant*'s foot is under the thick concrete sarcophagus.",animal elephant
Born Free were shocked to learn of a huge illegal shipment of *Elephant* ivory that has been seized in Hong Kong.,animal elephant
There could be a *Snake* in the daylight.,animal snake
What if a *Snake* had been in those bushes?,animal snake
She screamed and frantically clawed the slender green *Snake* from her arm.,animal snake
She had been a virtual prisoner in the cabin since she had seen the *Snake* on the porch.,animal snake
"While in Thrace he is said to have caused the death of Eurydice, who was bitten by a *Snake* while fleeing from him.",animal snake
There could be a *Snake*.,animal snake
"Its immediate bluffs and the shores of some of its tributaries, notably the *Snake*, are modified by canons.",animal snake
"The largest tributary of the Columbia is the *Snake* river, which for nearly 200 m.",animal snake
"The karwar is about a foot high, with head disproportionately large; the male figures are sometimes represented with a spear and shield, the female holding a *Snake*.",animal snake
"Rodmar, for the sake of the treasure, was slain by his sons Fafnir and Regin; and Fafnir, seizing the whole, retired to a desolate heath and, in the form of a *Snake* or dragon, brooded over the hoard.",animal snake
"A mouse she could handle â€“ literally, but a *Snake* was something different.",animal snake
"The penstock, three feet in diameter at this point, was a long black *Snake*, carrying its mountain water to the small generating station, while adjacent black piping and frequent taps provided the ice that coated the cliff sides in gigantic clusters below.",animal snake
